,brand,capacity,types,speed ,color,rating,price,warranty
109,SAMSUNG,8 kg,Front Load,700,Grey,4.3,"19,990",3
110,Haier,8 kg,Unknown,800,Not Specified,4.3,"16,990",2
111,Haier,8 kg,Unknown,800,Not Specified,4.3,"17,490",2
112,SAMSUNG,5 kg,Front Load,1350,Grey,4.4,"9,690",3
113,Haier,7 kg,Unknown,13001300,Not Specified,4.3,"8,990",2
114,IFB,7 kg,Unknown,1200,Not Specified,4.3,"28,590",4
115,IFB,8 kg,Unknown,1200,Not Specified,4.3,"33,990",4
116,realme,5 kg,Top Load,1400,Grey,4.2,"9,690",2
117,LG,7 kg,Top Load,1350,Not Specified,4.4,"11,490",2
118,IFB,8 kg,Unknown,1200,Not Specified,4.3,"32,990",4
119,SAMSUNG,8 Kg,Top Load,1300,Grey,4.4,"11,490",3
120,Haier,5 kg,Unknown,800,Not Specified,4.3,"12,790",2
121,realme,7 kg,Top Load,1400,Not Specified,4.2,"7,690",2
122,LG,5 kg,Unknown,1300,Not Specified,4.5,"14,490",2
123,LG,7 kg,Unknown,740,Not Specified,4.3,"17,990",2
124,IFB,6 kg,Unknown,1000,Not Specified,4.3000000000000185,"24,990",4
125,IFB,7 kg,Front Load,1000,Not Specified,4.3,"27,990",4
126,Haier,7 kg,Unknown,800,Not Specified,4.3,"14,190",2
127,realme,5 kg,Top Load,1400,Grey,4.2,"7,990",2
128,SAMSUNG,7 kg,Top Load,700,Grey,4.3,"17,990",3
129,IFB,7 kg,Unknown,720,Not Specified,4.3,"18,390",4
130,MarQ,6 kg,Top Load,1350,Not Specified,4.2,"6,790",2
131,Thomson,5 kg,Top Load,1400,Not Specified,4.1,"7,999",2
132,Whirlpool,5 kg,Unknown,1400,Not Specified,4.4,"13,290",4
133,SAMSUNG,8 kg,Top Load,700,Grey,4.3,"19,990",3
134,Haier,8 kg,Unknown,800,Not Specified,4.3,"16,990",2
135,Haier,8 kg,Unknown,800,Not Specified,4.3,"17,490",2
136,SAMSUNG,5 kg,Front Load,1350,Grey,4.4,"9,690",3
137,Haier,7 kg,Unknown,13001300,Not Specified,4.3,"8,990",2
138,IFB,7 kg,Unknown,1200,Not Specified,4.3,"28,590",4
139,IFB,8 kg,Unknown,1200,Not Specified,4.3,"33,990",4
140,realme,5 kg,Top Load,1400,Grey,4.2,"9,690",2
141,LG,7 kg,Top Load,1350,Not Specified,4.4,"11,490",2
142,IFB,8 kg,Unknown,1200,Not Specified,4.3,"32,990",4
143,SAMSUNG,8 Kg,Top Load,1300,Grey,4.4,"11,490",3
144,Haier,5 kg,Unknown,800,Not Specified,4.3,"12,790",2
145,realme,7 kg,Front Load,1400,Not Specified,4.2,"7,690",2
146,LG,5 kg,Unknown,1300,Not Specified,4.5,"14,490",2
147,LG,7 kg,Unknown,740,Not Specified,4.3,"17,990",2
148,IFB,6 kg,Unknown,1000,Not Specified,4.3000000000000185,"24,990",4
149,IFB,7 kg,Front Load,1000,Not Specified,4.3,"27,990",4
150,Haier,7 kg,Unknown,800,Not Specified,4.3,"14,190",2
151,realme,5 kg,Top Load,1400,Grey,4.2,"7,990",2
152,SAMSUNG,7 kg,Top Load,700,Grey,4.3,"17,990",3
153,IFB,7 kg,Unknown,720,Not Specified,4.3,"18,390",4
154,MarQ,6 kg,Front Load,1350,Not Specified,4.2,"6,790",2
155,Thomson,5 kg,Top Load,1400,Not Specified,4.1,"7,999",2
156,Whirlpool,5 kg,Unknown,1400,Not Specified,4.4,"13,290",4
157,SAMSUNG,8 kg,Top Load,700,Grey,4.3,"19,990",3
158,Haier,8 kg,Unknown,800,Not Specified,4.3,"16,990",2
159,Haier,8 kg,Unknown,800,Not Specified,4.3,"17,490",2
160,SAMSUNG,5 kg,Front Load,1350,Grey,4.4,"9,690",3
161,Haier,7 kg,Unknown,13001300,Not Specified,4.3,"8,990",2
162,IFB,7 kg,Unknown,1200,Not Specified,4.3,"28,590",4
